id,city,state,location,year,city_latitude,city_longitude,report_link
2519,Norwood,NJ,"Norwood, NJ",2019,40.99450000000001,-73.9483,http://www.nuforc.org/webreports/145/S145840.html
2520,Sherman Oaks,CA,"Sherman Oaks, CA",2019,34.14653157894737,-118.44670765550212,http://www.nuforc.org/webreports/145/S145780.html
2521,Weed,CA,"Weed, CA",2019,41.5109,-122.36480000000005,http://www.nuforc.org/webreports/145/S145804.html
2522,Plymouth,WI,"Plymouth, WI",2019,43.76849999999996,-88.01609999999994,http://www.nuforc.org/webreports/145/S145808.html
2523,Waco,TX,"Waco, TX",2019,31.573597507788193,-97.13584859813108,http://www.nuforc.org/webreports/145/S145758.html
2524,Helotes,TX,"Helotes, TX",2019,29.632200000000008,-98.76060000000004,http://www.nuforc.org/webreports/145/S145836.html
2525,Goffstown,NH,"Goffstown, NH",2019,43.020300000000006,-71.57209999999999,http://www.nuforc.org/webreports/145/S145835.html
2526,Bismarck,ND,"Bismarck, ND",2019,46.8167534482757,-100.70879999999973,http://www.nuforc.org/webreports/145/S145806.html
2527,Independence,MO,"Independence, MO",2019,39.07880845410599,-94.38608574879214,http://www.nuforc.org/webreports/145/S145762.html
2528,Valparaiso,IN,"Valparaiso, IN",2019,41.46761748251749,-87.03158251748273,http://www.nuforc.org/webreports/145/S145763.html
2529,Jacksonville,FL,"Jacksonville, FL",2019,30.266904680970416,-81.61637283365769,http://www.nuforc.org/webreports/145/S145764.html
2530,Troutman,NC,"Troutman, NC",2019,35.6822,-80.86630000000001,http://www.nuforc.org/webreports/145/S145760.html
2531,Las Vegas,NV,"Las Vegas, NV",2019,36.14124586319169,-115.18659190010752,http://www.nuforc.org/webreports/145/S145770.html
2532,Montgomery,MN,"Montgomery, MN",2019,44.4281,-93.5622,http://www.nuforc.org/webreports/145/S145756.html
2533,Nottingham,MD,"Nottingham, MD",2019,39.38919999999992,-76.49200000000015,http://www.nuforc.org/webreports/145/S145761.html
2534,Morris,MN,"Morris, MN",2019,45.586000000000006,-95.95440000000004,http://www.nuforc.org/webreports/145/S145775.html
2535,Milford,UT,"Milford, UT",2019,38.3624,-113.1098,http://www.nuforc.org/webreports/145/S145773.html
2536,Norwood,NJ,"Norwood, NJ",2019,40.99450000000001,-73.9483,http://www.nuforc.org/webreports/145/S145841.html
2537,Sparland,IL,"Sparland, IL",2019,41.0316,-89.5072,http://www.nuforc.org/webreports/145/S145830.html
2538,Carolina Beach,NC,"Carolina Beach, NC",2019,34.0376,-77.89910000000002,http://www.nuforc.org/webreports/145/S145815.html
2539,Dauphin Island,AL,"Dauphin Island, AL",2019,30.247,-88.1939,http://www.nuforc.org/webreports/145/S145779.html
2540,Strathroy,ON,"Strathroy, ON",2019,42.955099999999995,-81.6223,http://www.nuforc.org/webreports/145/S145776.html
2541,North Wilkesboro,NC,"North Wilkesboro, NC",2019,36.1585,-81.14759999999994,http://www.nuforc.org/webreports/145/S145778.html
2542,Lexington,NC,"Lexington, NC",2019,35.79657604790423,-80.25426766467086,http://www.nuforc.org/webreports/145/S145805.html
2543,Battle Creek,MI,"Battle Creek, MI",2019,42.327892803030224,-85.18855946969687,http://www.nuforc.org/webreports/145/S145774.html
2544,Whitecourt,AB,"Whitecourt, AB",2019,54.150099999999995,-115.68550000000003,http://www.nuforc.org/webreports/145/S145832.html
2545,Van Nuys,CA,"Van Nuys, CA",2019,34.187148516949335,-118.4612622881361,http://www.nuforc.org/webreports/145/S145788.html
